time_s,acceleration_g
0.00,0.00000
0.25,0.00035
0.50,0.00050
0.75,0.00035
1.00,0.00000
1.25,-0.00035
1.50,-0.00050
1.75,-0.00035
2.00,0.00000
2.25,0.00032
2.50,0.00047
2.75,0.00034
3.00,0.00001
3.25,-0.00033
3.50,-0.00048
3.75,-0.00034
4.00,0.00000
4.25,0.00036
4.50,0.00051
4.75,0.00036
5.00,0.00000
5.25,-0.00034
5.50,-0.00049
5.75,-0.00035
6.00,0.00000
6.25,0.00033
6.50,0.00048
6.75,0.00033
7.00,0.00000
7.25,-0.00036
7.50,-0.00050
7.75,-0.00036
8.00,0.00000
8.25,0.00034
8.50,0.00049
8.75,0.00034
9.00,0.00000
9.25,-0.00035
9.50,-0.00051
9.75,-0.00035
