time_s,acceleration_g
0.00,0.00002
0.25,0.00062
0.50,0.00092
0.75,0.00064
1.00,0.00003
1.25,-0.00064
1.50,-0.00090
1.75,-0.00063
2.00,0.00002
2.25,0.00060
2.50,0.00088
2.75,0.00061
3.00,0.00001
3.25,-0.00061
3.50,-0.00089
3.75,-0.00062
4.00,0.00002
4.25,0.00065
4.50,0.00093
4.75,0.00065
5.00,0.00003
5.25,-0.00063
5.50,-0.00091
5.75,-0.00064
6.00,0.00001
6.25,0.00062
6.50,0.00089
6.75,0.00062
7.00,0.00002
7.25,-0.00066
7.50,-0.00093
7.75,-0.00065
8.00,0.00002
8.25,0.00063
8.50,0.00091
8.75,0.00063
9.00,0.00001
9.25,-0.00064
9.50,-0.00092
9.75,-0.00064
