time_s,acceleration_g
0.00,0.00001
0.25,0.00070
0.50,0.00105
0.75,0.00072
1.00,0.00002
1.25,-0.00070
1.50,-0.00102
1.75,-0.00071
2.00,0.00001
2.25,0.00068
2.50,0.00100
2.75,0.00069
3.00,0.00002
3.25,-0.00069
3.50,-0.00101
3.75,-0.00070
4.00,0.00001
4.25,0.00072
4.50,0.00106
4.75,0.00073
5.00,0.00480
5.25,-0.00072
5.50,-0.00105
5.75,-0.00072
6.00,0.00002
6.25,0.00070
6.50,0.00103
6.75,0.00070
7.00,0.00001
7.25,-0.00073
7.50,-0.00107
7.75,-0.00073
8.00,0.00002
8.25,0.00071
8.50,0.00104
8.75,0.00071
9.00,0.00001
9.25,-0.00070
9.50,-0.00106
9.75,-0.00072
